Date,Price,Open,High,Low,Change %,days
5/18/2011,1.4246,1.4236,1.4288,1.4194,0.06%,2968
5/19/2011,1.4314,1.4249,1.4327,1.4205,0.48%,2969
5/20/2011,1.4155,1.4308,1.4348,1.4134,-1.11%,2970
5/23/2011,1.4051,1.4131,1.4144,1.3969,-0.73%,2971
5/24/2011,1.4104,1.4045,1.4133,1.4,0.38%,2972
5/25/2011,1.4087,1.4101,1.412,1.4013,-0.12%,2973
5/26/2011,1.4139,1.4085,1.4207,1.4066,0.37%,2974
5/27/2011,1.4324,1.4137,1.4325,1.4126,1.31%,2975
5/30/2011,1.428,1.4314,1.4314,1.4257,-0.31%,2976
5/31/2011,1.4396,1.4284,1.4425,1.4284,0.81%,2977
6/1/2011,1.4314,1.4393,1.446,1.4307,-0.57%,2978
6/2/2011,1.4491,1.4322,1.4514,1.4322,1.24%,2979
6/3/2011,1.4637,1.4494,1.4645,1.4454,1.01%,2980
6/6/2011,1.4577,1.4628,1.4659,1.4556,-0.41%,2981
6/7/2011,1.4691,1.4577,1.4698,1.4563,0.78%,2982
6/8/2011,1.4577,1.4691,1.4695,1.4564,-0.78%,2983
6/9/2011,1.4508,1.4577,1.4651,1.4476,-0.47%,2984
6/10/2011,1.4348,1.451,1.4553,1.4323,-1.10%,2985
6/13/2011,1.4417,1.4329,1.4432,1.432,0.48%,2986
6/14/2011,1.4441,1.442,1.4501,1.4379,0.17%,2987
6/15/2011,1.4168,1.4442,1.4456,1.4156,-1.89%,2988
6/16/2011,1.4213,1.4164,1.4221,1.4074,0.32%,2989
6/17/2011,1.4311,1.4213,1.4342,1.4127,0.69%,2990
6/20/2011,1.4309,1.4274,1.4329,1.4191,-0.01%,2991
6/21/2011,1.4407,1.4306,1.4423,1.4304,0.68%,2992
6/22/2011,1.4354,1.4396,1.4442,1.4339,-0.37%,2993
6/23/2011,1.4259,1.4335,1.4341,1.4127,-0.66%,2994
6/24/2011,1.4193,1.4264,1.4312,1.4142,-0.46%,2995
6/27/2011,1.4284,1.4193,1.4296,1.4103,0.64%,2996
6/28/2011,1.4369,1.4284,1.4398,1.4235,0.60%,2997
6/29/2011,1.4436,1.4364,1.4449,1.4327,0.47%,2998
6/30/2011,1.4506,1.4434,1.4541,1.4426,0.48%,2999
7/1/2011,1.4525,1.45,1.4554,1.4437,0.13%,3000
7/4/2011,1.4541,1.4543,1.4581,1.4493,0.11%,3001
7/5/2011,1.4423,1.4541,1.4554,1.4396,-0.81%,3002
7/6/2011,1.4318,1.4421,1.4468,1.4284,-0.73%,3003
7/7/2011,1.4361,1.4318,1.4376,1.4221,0.30%,3004
7/8/2011,1.427,1.436,1.4371,1.4207,-0.63%,3005
7/11/2011,1.4036,1.4215,1.4228,1.3984,-1.64%,3006
7/12/2011,1.3979,1.4046,1.4065,1.3838,-0.41%,3007
7/13/2011,1.4184,1.3976,1.4212,1.3952,1.47%,3008
7/14/2011,1.4145,1.4189,1.4284,1.4116,-0.27%,3009
7/15/2011,1.4153,1.4144,1.4202,1.4093,0.06%,3010
7/18/2011,1.4111,1.4113,1.4135,1.4011,-0.30%,3011
7/19/2011,1.4156,1.4101,1.4219,1.4068,0.32%,3012
